source,time,target,text,value
@justinbieber,12/5/16 22:08,@TheEllenShow,RT @TheEllenShow: You're gonna need some Cold Water after this acoustic performance by @JustinBieber. https://t.co/0WpAJ2yQhq,-1
@justinbieber,12/5/16 19:16,@TheEllenShow,RT @TheEllenShow: .@JustinBieber is in the building. https://t.co/PpYEbKJP6p https://t.co/SMrPVNJRlI,0
@justinbieber,12/4/16 23:00,@TheEllenShow,Tomorrow @TheEllenShow :) https://t.co/Wc38RHSq2Z,1
@justinbieber,11/12/16 14:51,@rihanna,"RT @AMAs:  Here are your #AMAs Video of the Year Nominees:
 @justinbieber - Sorry
 @LifeOfDesiigner - Panda
 @rihanna ft. @Drake - Wor",-1
@justinbieber,10/20/16 17:48,@KevinHart4real,I want to see the new @KevinHart4real movie #WhatNow - congrats Kev. Everyone let me know how it is,1
@justinbieber,10/10/16 13:48,@Adele,"RT @AMAs:  #AMAs Artist of the Year Nominees (Part 1) 
@Adele
@Beyonce
@justinbieber
@Drake
@selenagomez https://t.c",0
@justinbieber,10/10/16 13:48,@Adele,"RT @AMAs:  #AMAs Favorite Album - Pop/Rock Nominees 
@Adele - ""25""
@justinbieber - ""Purpose""
@Drake - ""Views"" https://t.co/M",1
@justinbieber,10/10/16 13:48,@Drake,"RT @AMAs:  #AMAs Favorite Male Artist - Pop/Rock Nominees 
@justinbieber
@Drake
@theweeknd https://t.co/dUo67LG3kd",1
@justinbieber,10/10/16 13:48,@rihanna,"RT @AMAs:  #AMAs Video of the Year Nominees 
@justinbieber - ""Sorry""
@LifeOfDesiigner - ""Panda""
@rihanna + @Drake - ""Work"" h",-1
@justinbieber,9/27/16 19:59,@arianagrande,"RT @SB_Projects: #MTVEMA nominations are in! Vote for @arianagrande, @justinbieber, @kanyewest &amp; @martingarrix NOW  https://t.co/QEVAedqEZQ",0
@justinbieber,7/29/16 19:16,@Drake,RT @officialcharts: This formidable trio have done the unthinkable and knocked @Drake off No.1 after 15 weeks! https://t.co/7zQZY7KKig http,-1
@justinbieber,7/1/16 5:46,@kanyewest,@kanyewest congrats on adidas my guy,0
@justinbieber,6/17/16 21:49,@TheEllenShow,Happy #FindingDory day @TheEllenShow,1
@justinbieber,6/17/16 4:54,@KevinHart4real, @KevinHart4real @JKCorden https://t.co/kxo3M5SJkF,0
@justinbieber,6/5/16 3:11,@Drake,"RT @Beats1: #OneDanceRemix on #OVOSoundRadio. 
@justinbieber 
@Drake 
https://t.co/rAPwDbKt1V https://t.co/G3WoWRpl0S",0
@justinbieber,6/5/16 3:09,@Drake,"RT @billboard: .@Drake debuts 'One Dance' remix with @JustinBieber, 'Back on Road' with @gucci1017 &amp; '4PM in Calabasas' https://t.co/RIrpDB",0
@justinbieber,6/3/16 22:26,@Drake,Tomorrow #OVOSoundRadio @Drake https://t.co/vlS4lRaL6c,0
@justinbieber,6/3/16 22:01,@kanyewest,@BigBoy @kanyewest new song is  https://t.co/LUqHXTU4Wx,1
@justinbieber,4/6/16 3:41,@Drake,New tune. @Drake and @kanyewest  take u to the garage and do karate  https://t.co/ynKT3uf3aS,1
@justinbieber,4/1/16 5:15,@kanyewest,@kanyewest  @fucktyler the goat,0
@justinbieber,3/22/16 7:05,@kanyewest,Shout out to one of my inspirations @kanyewest for coming to the show tonight. Had to go big. #PurposeTourLosAngeles night 2,0
@justinbieber,2/16/16 20:02,@theellenshow,Good times with @theellenshow last week. #giveback https://t.co/eUyg8VG7c0,1
@justinbieber,2/11/16 1:08,@TheEllenShow,Love u @TheEllenShow,1
@justinbieber,1/21/16 10:02,@JLo,Thank you @JLo for having me at opening night. Incredible show. Thanks and congrats,1
@justinbieber,1/7/16 3:23,@TheEllenShow,congrats to my friend @TheEllenShow on her @PeoplesChoice favorite humanitarian award tonight for @stjude ! #PCAs #giveback,1
@justinbieber,11/21/15 16:39,@Drake,@Drake great seeing u big bro. Family for life,1
@justinbieber,11/20/15 15:24,@jimmyfallon,RT @jimmyfallon: .@justinbieber and I say hi with a #SecretHandshake https://t.co/gEuwCGeYzF #FallonTonight,0
@justinbieber,11/20/15 2:31,@jimmyfallon,I don't know if everyone is ready for tonight and the #SecretHandshake @jimmyfallon :) https://t.co/yBKnaXnZ0E,1
@justinbieber,11/20/15 2:31,@jimmyfallon,RT @jimmyfallon: .@justinbieber respect (thanks for the bit tonight!) #PURPOSE #FallonTonight https://t.co/WEjvUQFUdD,1
@justinbieber,11/18/15 10:33,@jimmyfallon,Last night a little #sorry on @jimmyfallon @FallonTonight  https://t.co/25egy1QKLx,-1
@justinbieber,11/18/15 4:40,@jimmyfallon,Time to sing. @jimmyfallon @FallonTonight on now. Thanks. #purpose https://t.co/MlWjrB3OyH,1
@justinbieber,11/18/15 1:20,@jimmyfallon,"RT @jimmyfallon: Oh - and @justinbieber crushes ""Sorry"" tonight! https://t.co/Q4kSttK0KM https://t.co/xRNKExgbhK",-1
@justinbieber,11/18/15 0:26,@jimmyfallon,Tonight I sing and race on @jimmyfallon and the @FallonTonight https://t.co/idT6l4V8UL,0
@justinbieber,11/17/15 18:57,@jimmyfallon,Tonight @jimmyfallon https://t.co/bMNTckuBdi,0
@justinbieber,11/17/15 17:43,@jimmyfallon,Doing something great with @jimmyfallon,1
@justinbieber,11/17/15 8:27,@TheEllenShow,#LoveYourself on @TheEllenShow today https://t.co/DulDmX9G1V,0
@justinbieber,11/16/15 15:40,@TheEllenShow,RT @TheEllenShow: Get ur tix to @JustinBieber's #PURPOSETOUR early with code ELLENJB do it fast before it opens to the other Beliebers http,1
@justinbieber,11/13/15 22:04,@KevinHart4real,RT @KevinHart4real: Get my lil bro @justinbieber's new album #Purpose now. Proud of you https://t.co/HYTlVdfwWk,1
@justinbieber,11/13/15 20:46,@TheEllenShow,RT @TheEllenShow: We all knew #BieberWeek had to end sometime. Sorry. #PURPOSE https://t.co/vww2utBs3Q,-1
@justinbieber,11/13/15 20:46,@TheEllenShow,"RT @TheEllenShow: I ended #BieberWeek with a bang. Thanks, @BestFiends for sponsoring the outdoor concert! #LaughDancePartner https://t.co/",1
@justinbieber,11/13/15 17:30,@TheEllenShow,Make sure to watch the big #purpose concert on @TheEllenShow today. Love her,1
@justinbieber,11/13/15 1:59,@TheEllenShow,I love @TheEllenShow so much. Thank you for everything you do for me. #BieberWeekOnEllen,1
@justinbieber,11/12/15 18:49,@TheEllenShow,RT @TheEllenShow: .@JustinBieber as a security guard with me in his ear. https://t.co/q5VYQtbifN,0
@justinbieber,11/12/15 16:24,@TheEllenShow,RT @TheEllenShow: Its true. #PURPOSETOUR @JustinBieber https://t.co/HXc05mtadi,1
@justinbieber,11/12/15 7:48,@jtimberlake,"RT @jtimberlake: You too. Keep up the good work, lil' bro. https://t.co/SthPhZlaL5",1
@justinbieber,11/12/15 1:12,@jtimberlake,@jtimberlake good seeing you and thanks for the kind words. Means a lot,1
@justinbieber,11/11/15 20:16,@TheEllenShow,Less than 48 hours to go and finally made up with @Sethrogen to celebrate #PURPOSE lol . Thanks @TheEllenShow https://t.co/VnPWRmjXir,1
@justinbieber,11/11/15 18:37,@TheEllenShow,Got 'em on #bieberweek today with @TheEllenShow. Also finally saw @Sethrogen https://t.co/6kpqSmQgCV,0
@justinbieber,11/11/15 14:37,@TheEllenShow,Watch #BIEBERWEEK on @TheEllenShow today for more details. #PurposeWorldTour https://t.co/WZ8ejLeu4L,1
@justinbieber,11/11/15 2:52,@TheEllenShow,"RT @TheEllenShow: .@JustinBieber is here all week. So, Happy Tuesbieb!",1
@justinbieber,11/10/15 20:42,@TheEllenShow,#BIEBERWEEK on @TheEllenShow continues today,0
@justinbieber,11/10/15 1:24,@TheEllenShow,"RT @TheEllenShow: .@JustinBieber told me hes single, but that was before this dance.  https://t.co/jFFAImh1gk",-1
@justinbieber,11/10/15 1:09,@TheEllenShow,Just finished watching day 1 of #BIEBERWEEK on @TheEllenShow . I love her,1
@justinbieber,11/9/15 18:41,@TheEllenShow,RT @TheEllenShow: Happy @JustinBieber Week! We kicked it off with some dating questions &amp; a special acoustic performance. #BieberWeek https,1
@justinbieber,11/9/15 8:56,@TheEllenShow,#BIEBERWEEK starts on @TheEllenShow tomorrow! #PURPOSE ON FRIDAY!! https://t.co/H797XW66WV,0
@justinbieber,11/9/15 8:55,@TheEllenShow,#BIEBERWEEK on @TheEllenShow https://t.co/U8fR90AQ0W,0
@justinbieber,11/8/15 16:05,@TheEllenShow,Get ready. With #Purpose coming out this week is #BIEBERWEEK on @TheEllenShow :) https://t.co/N1ojK7FLlB,1
@justinbieber,11/5/15 1:44,@TheEllenShow,RT @TheEllenShow: .@JustinBieber is throwing a huge outdoor concert on my show. I thought I'd invite some of my favorite people: You. https,1
@justinbieber,11/3/15 8:10,@TheEllenShow,RT @TheEllenShow: Who wants tickets to my @JustinBieber outdoor concert? https://t.co/YZ2gYkB2TX,1
@justinbieber,11/1/15 16:46,@Drake,"RT @billboard: Listen to the CD quality (and @Drake-endorsed!) version of @JustinBieber's ""Hotline Bling"" remix  https://t.co/6tTz8k1s8l",0
@justinbieber,10/30/15 19:04,@drake,Keep getting asked for a remix. U know @drake is my brother for life...should we do this? Part 1 today ;),1
@justinbieber,10/30/15 17:26,@ArianaGrande,Congrats @ArianaGrande on Focus. Remember when u #PreOrderPURPOSE u get our remix :) https://t.co/3PCGKAkQtO,1
@justinbieber,10/27/15 18:09,@Adele,"RT @R1Breakfast: Justin gave @Adele's new track a standing ovation... ""Her voice is amazing, I would love to meet her!"" #BieberOnGrimmy",1
@justinbieber,10/26/15 23:50,@TheEllenShow,Here we go! Who is coming? @TheEllenShow  https://t.co/3LzH45306z,0
@justinbieber,10/22/15 20:54,@RyanSeacrest,RT @RyanSeacrest: set ur headphones to banger... @justinbieber's new track #sorry has arrived https://t.co/JFwZISFVQH,-1
@justinbieber,10/22/15 19:06,@RyanSeacrest,RT @RyanSeacrest: im gonna sleep w/ my finger on the play button https://t.co/IXZA2bOAbx,0
@justinbieber,10/21/15 22:27,@RyanSeacrest,So tomorrow a lot of friends will be playing #SORRY. @RyanSeacrest u ready?,-1
@justinbieber,10/19/15 14:58,@ArianaGrande,"#PreOrderPurpose and get the new song with me and @ArianaGrande http://t.co/ZWMJvhasht
https://t.co/SxeMYy7YfV",1
@justinbieber,10/16/15 19:15,@ArianaGrande,18 and 19 if you preorder. #PreOrderPURPOSE is the only way to get the song with @ArianaGrande  https://t.co/QSwHzj2WtU,0
@justinbieber,10/16/15 13:55,@ArianaGrande,Only way to get the song with me and @ArianaGrande is the #PreOrderPURPOSE http://t.co/ZWMJvgSRpV http://t.co/FuWHyl2qIA,0
@justinbieber,10/16/15 3:10,@ArianaGrande,"RT @SB_Projects: #PreOrderPurpose &amp; get an exclusive remix of #WhatDoYouMean feat. @ArianaGrande on #Nov13! 
http://t.co/hpPjVRMouw http:/",0
@justinbieber,10/14/15 16:30,@ArianaGrande,Ok. Preorder Friday. Let's do it. Ok by you @ArianaGrande? #purpose #nov13 #remix #PreOrder http://t.co/Cy0TSsZtRt,1
@justinbieber,9/19/15 15:46,@ArianaGrande,"@ArianaGrande saw the mashup.
Loved it. Thanks",1
@justinbieber,9/18/15 18:09,@rihanna,@RihSnapchat @rihanna :),1
@justinbieber,9/15/15 23:26,@theellenshow,@theellenshow lol http://t.co/7rcCb9ojKY,1
@justinbieber,9/15/15 3:33,@TheEllenShow,Back home I'm back on @TheEllenShow tomorrow https://t.co/mbVdPUfcrK,0
@justinbieber,9/11/15 20:24,@TheEllenShow,When @TheEllenShow needs a gardener I'm there :) http://t.co/0CZTObbp7W,1
@justinbieber,9/9/15 1:40,@TheEllenShow,@TheEllenShow anything for you. Love u,1
@justinbieber,9/8/15 14:15,@TheEllenShow,@TheEllenShow hmmmmm,0
@justinbieber,9/8/15 1:33,@TheEllenShow,@TheEllenShow miss u,0
@justinbieber,9/3/15 12:22,@jimmyfallon,Fun interview with @jimmyfallon http://t.co/h0Fcts669t,1
@justinbieber,9/2/15 23:17,@jimmyfallon,One of the best interviews and fun performances. Thanks @jimmyfallon and @theroots and @FallonTonight,1
@justinbieber,9/2/15 5:39,@jimmyfallon,Heading to Nyc to perform #WhatDoYouMean and talk with my buddy @jimmyfallon on @FallonTonight,0
@justinbieber,9/1/15 7:15,@RyanSeacrest,We did it. This is @RyanSeacrest favorite song to sing along with --- http://t.co/guDqrRG3My we finally made it :),1
@justinbieber,8/31/15 1:19,@MileyCyrus,Here we go. Good luck @MileyCyrus #VMAs,1
@justinbieber,8/28/15 18:22,@TheEllenShow,RT @TheEllenShow: So THATs what you mean. @JustinBieber https://t.co/8uSZU4aG39,-1
@justinbieber,8/27/15 3:31,@MileyCyrus,What Do You Mean? @MileyCyrus #2days see you Sunday #VMAs http://t.co/5VgeIg2ugJ,-1
@justinbieber,8/27/15 0:15,@mileycyrus,Only @mileycyrus. Lol. It's true. I'm performing on the #vmas!! #bieberisback :) http://t.co/vMBxudvSul,1
@justinbieber,8/27/15 0:15,@mileycyrus,Thanks @mileycyrus lol. #2days #whatdoyoumean oh and one more thing.... http://t.co/3hMJfS77Fs,1
@justinbieber,8/26/15 16:14,@KevinHart4real,Love my brother for life @KevinHart4real . What Do You Mean man!!!??? :) #2days to go. #whatdoyoumean http://t.co/T5silxid73,1
@justinbieber,8/23/15 0:08,@KevinHart4real,Just got word #bieberroast is re-airing on @comedycentral in the next hour. Damn you @KevinHart4real lol. Love u bro,1
@justinbieber,8/22/15 20:12,@drake,And don't worry it's day 6 but I'm saving my brother @drake for something special. #family,1
@justinbieber,8/21/15 7:01,@TheEllenShow,"RT @TheEllenShow: What do you mean, what do I mean, ""What Do You Mean?"" Thats Justins new single. ""What Do You Mean."" I mean really. http",-1
@justinbieber,8/20/15 14:44,@theellenshow,What Do You Mean? @theellenshow #8days she has always been there for me. Love Ellen. See you soon. http://t.co/4KhZmK3GlY,1
@justinbieber,8/20/15 13:01,@TheEllenShow,@TheEllenShow see u soon,0
@justinbieber,8/20/15 13:01,@TheEllenShow,"RT @TheEllenShow: Groundbreaking news, everyone. El Nio will be coming to Los Angeles. Thats right. @JustinBieber is gonna be on my premi",1
@justinbieber,8/19/15 19:07,@jimmyfallon,@carlyraejepsen @FallonTonight @jimmyfallon good luck tonight. Loving the album. See u soon jimmy,1
@justinbieber,8/19/15 19:07,@JimmyFallon,RT @carlyraejepsen: Performing on @FallonTonight in honor of 2 days until EMOTION! See you soon @JimmyFallon  http://t.co/wbFJIcYtKc,0
@justinbieber,8/15/15 19:52,@RyanSeacrest,@Alanis @RyanSeacrest lol,1
@justinbieber,8/9/15 15:57,@Drake,"RT @thisisWALDERcom: .@Drake ""Know Yourself"" @alessiacara ""Here"" and Jack U x @justinbieber ""Where Are U Now"" top 3 songs of the year...so ",1
@justinbieber,8/6/15 18:45,@ArianaGrande,@ArianaGrande thanks Ari,1
@justinbieber,8/6/15 18:45,@ArianaGrande,RT @ArianaGrande: better make up your mind wdym??? #22days  https://t.co/CJ8N6eo4IZ,1
@justinbieber,8/6/15 18:36,@ArianaGrande,What Do You Mean? @ArianaGrande #22DAYS http://t.co/pG9qEP4FaF,-1
@justinbieber,8/6/15 17:46,@NickiMinaj,"RT @billboard: .@NickiMinaj, @Skrillex, @Kygomusic &amp; @JustinBieber are headlining day 2 of #Hot100Fest: http://t.co/ul34HGxrXA http://t.co/",0
@justinbieber,7/29/15 15:50,@RyanSeacrest,What Do You Mean @RyanSeacrest? #30DAYS http://t.co/YRbFQVnljb,-1
@justinbieber,7/29/15 15:47,@ryanseacrest,What Do You Mean @ryanseacrest? #30days https://t.co/XSexQRSjN0,-1
@justinbieber,7/29/15 2:42,@RyanSeacrest,@RyanSeacrest thank you. See u tomorrow for the announcement ;),1
@justinbieber,7/28/15 17:51,@RyanSeacrest,@RyanSeacrest damn I just watched the clips for tonight back and I even cried. Lol. Got me. #KnockKnockLive thanks bro,1
@justinbieber,7/28/15 17:50,@RyanSeacrest,RT @RyanSeacrest: it's going down tonight #KnockKnockLive http://t.co/u6FYlyXtmS,-1
@justinbieber,7/28/15 11:49,@RyanSeacrest,RT @RyanSeacrest: wait until u see this tomorrow #KnockKnockLive @justinbieber http://t.co/aeES8dgg2Q,0
@justinbieber,7/27/15 6:22,@RyanSeacrest,RT @RyanSeacrest: fox tues https://t.co/L7Cwzzycwb,0
@justinbieber,7/26/15 14:34,@RyanSeacrest,Something really special happened to me on #KnockKnockLive this Tuesday. Thanks @RyanSeacrest,1
@justinbieber,7/7/15 3:26,@Drake,@ETCanada @Drake he is dreamy lol,1
@justinbieber,7/7/15 3:26,@Drake,"RT @ETCanada: .@justinbieber &amp; @Drake Are Neck &amp; Neck In Our Battle For #MostBeautifulCanadian - Vote Now
http://t.co/O2k4MYtnqS http://t.c",0
@justinbieber,7/1/15 19:14,@TheEllenShow,Congrats on your new line @TheEllenShow!! Everyone check out http://t.co/n24kcyapNG #EDbyEllen . Love yah,1
@justinbieber,6/18/15 22:04,@ArianaGrande,"RT @OnAirWithRyan: .@ArianaGrande &amp; @JustinBieber join forces in ""One Last Time""-""Where Are U Now"" mashup: http://t.co/LfvRqOEOWT http://t.",0
@justinbieber,6/16/15 2:43,@Drake,@Much @ShawnMendes @Drake @theweeknd @carlyraejepsen :) #JustinForMMVA,1
@justinbieber,6/16/15 2:43,@Drake,@Much @ShawnMendes @Drake @theweeknd @carlyraejepsen :) #JustinBieberForMMVA,1
@justinbieber,6/16/15 2:42,@Drake,RT @Much: Less than a week to help @ShawnMendes @justinbieber @Drake @theweeknd or @carlyraejepsen win Fan Fave Artist: http://t.co/ruk9tmu,1
@justinbieber,6/10/15 6:33,@KimKardashian,RT @KimKardashian: WEST VS EAST http://t.co/znqp27IFhv,0
@justinbieber,5/7/15 15:56,@ladygaga,@etnow  @ladygaga she is great,1
@justinbieber,5/6/15 8:12,@ladygaga,@ladygaga thank u for the kindness,0
@justinbieber,4/14/15 21:41,@ArianaGrande,"RT @billboard: .@JustinBieber, @ArianaGrande &amp; @KendallJenner's lip sync sends @CarlyRaeJepsen to No. 1 http://t.co/q7MgBb0mLS http://t.co/",0
@justinbieber,4/14/15 21:32,@ArianaGrande,RT @iHeartRadio: The crew got together to get nutty for @carlyraejepsen! @justinbieber @ArianaGrande! http://t.co/eMmMLp55sd http://t.co/tE,0
@justinbieber,4/9/15 8:33,@ArianaGrande,Love the stage. Thanks for having me @ArianaGrande and thanks LA. Gotta tour again soon :),1
@justinbieber,4/9/15 8:32,@ArianaGrande,RT @KennyHamilton: Great show tonight!  Really enjoyed watching @RixtonOfficial @ArianaGrande and of course my dude @justinbieber with the ,1
@justinbieber,4/9/15 8:32,@ArianaGrande,"RT @etnow: .@JustinBieber was a surprise guest at @ArianaGrande's L.A. show, performing 3 songs! WATCH: http://t.co/lUWSkciQv7 http://t.co/",0
@justinbieber,4/2/15 23:39,@RyanSeacrest,RT @scooterbraun: Good interview with @RyanSeacrest and @justinbieber this morning http://t.co/AtwssuUwsL,1
@justinbieber,4/2/15 14:57,@RyanSeacrest,@RyanSeacrest soon enough. Lol. Happy to be joining @onedirection as the new member. Thank you Ryan ;),1
@justinbieber,4/2/15 14:56,@RyanSeacrest,"RT @RyanSeacrest: be patient @JustinBieber, one day u too will be able to grow a beard like this http://t.co/EnTQ7kZhE2",1
@justinbieber,4/2/15 14:56,@RyanSeacrest,"RT @RyanSeacrest: now it's official, we're adding @JustinBieber to #wangotango! http://t.co/YzLfOnAmFj",0
@justinbieber,4/2/15 5:32,@RyanSeacrest,See u tomorrow @RyanSeacrest . Been too long. Big news :),1
@justinbieber,4/2/15 5:30,@RyanSeacrest,RT @scooterbraun: @justinbieber Excited to hear the big news on @RyanSeacrest tomorrow,1
@justinbieber,3/31/15 1:56,@KevinHart4real,RT @KevinHart4real: It's almost time to tune-in to the #BieberRoast on @ComdeyCentral ...trust me you DO NOT wanna miss this,0
@justinbieber,3/30/15 21:02,@ArianaGrande,Still loving being back on stage this weekend. Thanks to @ArianaGrande @diplo and @Skrillex and #Ultra for 2 great nights,1
@justinbieber,3/30/15 18:00,@KevinHart4real,RT @ComedyCentral: Roast Master @KevinHart4real showed no mercy. The #BieberRoast premieres tonight at 10/9c. http://t.co/P9cOvptSwh,0
@BarackObama,6/10/16 16:25,@jimmyfallon,RT @FallonTonight: .@POTUS and @jimmyfallon Slow Jam the News https://t.co/51BDe8zaca #POTUSonFallon #FallonTonight https://t.co/S64AtoY0tJ,-1
@BarackObama,2/12/16 22:56,@TheEllenShow,Watch President Obama thank @TheEllenShow for all she's done for the LGBT community: https://t.co/Und55Vdlxy #LoveIsLove,0
@BarackObama,2/12/16 0:50,@TheEllenShow,"RT @TheEllenShow: .@BarackObama was here in 2007, and tomorrow hes barack. I mean back. #TBT @POTUS
https://t.co/LKU0eS0GXF",-1
@BarackObama,4/3/15 22:05,@jimmyfallon,RT @jimmyfallon: The Evolution of Mom Dancing 2 - Special thanks to @FLOTUS! #GimmeFive #MomDance https://t.co/8TEEYsj5Fj #FallonTonight,1
@BarackObama,1/26/15 22:30,@TheEllenShow,.@VP stops by @TheEllenShow with a message for young adults: Give your mom some peace of mind and #GetCovered. http://t.co/MqMOsk9bWK,1
@taylorswift13,11/21/16 4:09,@Drake,"YES @Drake 
#drakevsbenchpress https://t.co/pZCQUaX8Mm",0
@taylorswift13,4/4/16 6:00,@selenagomez,RT @selenagomez: #OG  https://t.co/YAd6oUSd3s,0
@taylorswift13,4/4/16 5:21,@jtimberlake,"RT @jtimberlake: My good friend, Taylor.... Congrats, dear!!! #iHeartAwards https://t.co/uFzYBrXYEv",1
@taylorswift13,4/1/16 12:38,@Drake,"Based on true events. #TAYLORvsTREADMILL 
@applemusic @Drake @1Future
https://t.co/ryUY3Yz7Pr
https://t.co/1eIHjoVIFU",1
@taylorswift13,2/15/16 22:38,@selenagomez,"Bad Blood just won a Grammy for Best Music Video and we are not ok.
@selenagomez https://t.co/EquWAq0UPg",1
@taylorswift13,1/1/16 0:14,@RyanSeacrest,"Are we in the clear yet?
#OOTWMusicVideo 
Premiering at 10:50pm EST on ABC @NYRE @JosephKahn @RyanSeacrest https://t.co/x2KYNDRTbK",1
@taylorswift13,12/31/15 0:19,@RyanSeacrest,"Are we out of the woods yet?
#OOTWMusicVideo premieres tomorrow night on @NYRE with @RyanSeacrest! https://t.co/wRLrZeaARh",0
@taylorswift13,12/22/15 17:17,@RyanSeacrest,"I can't wait to show you the video for Out Of The Woods!
It's premiering 12/31 on @NYRE with @RyanSeacrest.
#OOTWMusicVideo",0
@taylorswift13,12/22/15 17:11,@RyanSeacrest,"RT @GMA: That's right! @taylorswift13's music video debut for ""Out of the Woods"" will be during @RyanSeacrest's @NYRE! https://t.co/scJ73H9",1
@taylorswift13,12/17/15 23:54,@TheEllenShow,"This clip brought back so many amazing memories!!  
I love you @idinamenzel and @TheEllenShow 
https://t.co/O6xnZEihaH",1
@taylorswift13,10/9/15 21:11,@selenagomez,"Brb I'll just be listening to 'Hands To Myself' all day and then forever.
Love you so much @selenagomez 
#Revival is OUT NOW!!!",1
@taylorswift13,9/22/15 5:44,@TheEllenShow,"Finally got to meet Dylan, the 7-yr-old who passionately danced to Shake it Off on @TheEllenShow-- and this happened. http://t.co/hq9OaewA2G",-1
@taylorswift13,9/10/15 0:07,@TheEllenShow,RT @TheEllenShow: I  @TaylorSwift13. We never go out of style. http://t.co/HdFmKUe6Bd,0
@taylorswift13,9/2/15 3:19,@NICKIMINAJ,RT @NICKIMINAJ: Love the conversations I have with this girl behind the scenes. So glad we got to perform together.  https://t.co/RaMsfUF,1
@taylorswift13,8/31/15 4:50,@justinbieber,"RT @RubyRose: The VMAS made me happy, sad and sort of very very uncomfortable. Proud of @justinbieber and @taylorswift13 .. Loved the @thew",1
@taylorswift13,8/31/15 4:48,@NICKIMINAJ,@NICKIMINAJ love you so much. ,1
@taylorswift13,8/31/15 4:48,@NICKIMINAJ,"RT @NICKIMINAJ: Taylor, thank you for being epic. ",1
@taylorswift13,8/31/15 3:57,@selenagomez,"RT @selenagomez: I mean, if you really want to know what happens backstage.. http://t.co/2lrsOn6T7o",-1
@taylorswift13,8/28/15 1:13,@selenagomez,"Pre-show huddle with @selenagomez 
Photo credit: @jtimberlake http://t.co/PZs5iwnNi8",0
@taylorswift13,8/27/15 9:02,@jtimberlake,Unforgettable night thanks to that LA crowd..... And @jtimberlake. http://t.co/ooB3FdUPw2,1
@taylorswift13,8/27/15 8:50,@selenagomez,"Sisterhood.
@selenagomez 
#1989TourLA http://t.co/dHmACn2j9D",0
@taylorswift13,8/27/15 8:28,@jtimberlake,"Justin Timberlake. 
Mid-mic drop.
#1989TourLA 
@jtimberlake http://t.co/xLFLetDyJk",0
@taylorswift13,8/25/15 7:50,@TheEllenShow,"When @TheEllenShow walks out in a more sparkly outfit than yours and a tutu
https://t.co/5JtEFcQDAx
#1989TourLA http://t.co/Ey9ZJI1adv",1
@taylorswift13,8/20/15 3:08,@SelenaGomez,"RT @seventeen: .@TaylorSwift13 is pushing for @SelenaGomez to be win a VMA, because she's the best BFF http://t.co/FhXfoO29Hv http://t.co/B",1
@taylorswift13,8/3/15 15:40,@selenagomez,"""I'm Selena and I'm the villain.""
Arsyn.
@selenagomez 
http://t.co/IcQyWxrEm2 http://t.co/pDhz44Us9D",0
@taylorswift13,7/25/15 19:39,@selenagomez,RT @selenagomez: Bad Blood is nominated for video of the year!!! Vote here guys! -Arsyn  http://t.co/7l5xKDahnZ,-1
@taylorswift13,7/23/15 15:32,@NICKIMINAJ,"I thought I was being called out. I missed the point, I misunderstood, then misspoke. I'm sorry, Nicki.
@NICKIMINAJ",-1
@taylorswift13,7/22/15 14:28,@selenagomez,"Happy 23rd Birthday, @selenagomez. I can't believe it's been 7 years since we met!! I love you so much, always. http://t.co/V1acAV3HdR",1
