,sentiment,text
52,-1,RT @TeamTrump: .@HillaryClinton is RAISING your taxes to a disastrous level. @realDonaldTrump is going to LOWER your taxes - BIG LEAGUE! #D
53,0,"""YOU NEED BOTH A PUBLIC AND A PRIVATE POSITION""
@HillaryClinton #Debates2016 https://t.co/oI2qi2HAdO"
54,-1,Hypocrite! @HillaryClinton claims she needs a public and a private stance in discussions with Wall Street banks. #Debate
55,-1,.@HillaryClinton - ITS CALLED EXTREME VETTING! #Debates2016 https://t.co/ueq7cbOg9Y
56,-1,".@HillaryClinton #ICYMI- ""WE ARE NOT IN A NARRATIVE FIGHT.""
@Mike_Pence #MAGA https://t.co/FUQzXlyPwY"
57,-1,RT @realDonaldTrump: ATTN: @HillaryClinton - Why did five of your staffers need FBI IMMUNITY?! #BigLeagueTruth #Debates
58,-1,".@HillaryClinton is NOT above the law!
#Debates2016 https://t.co/4arYZcGgYZ"
59,-1,.@HillaryClinton : Bill clarified what he meant when calling Obamacare a disaster. Actually disaster is pretty clear. #Debate
60,-1,ATTN: @HillaryClinton - Why did five of your staffers need FBI IMMUNITY?! #BigLeagueTruth #Debates
61,-1,RT @TeamTrump: RT if you believe @HillaryClinton is the one who owes America an apology! #BigLeagueTruth #Debates https://t.co/KcmDedSUTw
62,-1,"RT @TeamTrump: Quite simply, @HillaryClinton mistreats women. #BigLeagueTruth #Debate2016
https://t.co/zhgrulIctf https://t.co/wHtwtnCxxQ"
63,0,"RT @TeamTrump: .@HillaryClinton just claimed she has a ""positive, optimistic view"" for America. #Debates https://t.co/hOWJYZbD7v"
64,-1,RT @TeamTrump: RT if you agree - @HillaryClinton &amp; @timkaine are WRONG for America! #VPDebate #MAGA https://t.co/2MZfFzCo6c
65,-1,".@HillaryClintons Careless Use Of A Secret Server Put National Security At Risk: https://t.co/OiAEMnrGcy #VPDebate
#BigLeagueTruth"
66,-1,RT @TeamTrump: .@HillaryClinton &amp; @timkaine think you're #Deplorables &amp; #BasementDwellers. @realDonaldTrump &amp; @mike_pence think you're PATR
67,-1,".@HillaryClinton Sneers At Millions Of Average Americans.
https://t.co/gEfURjRCfu 
#VPDebate #BigLeagueTruth"
68,-1,RT @TeamTrump: .@timkaine has a pay-to-play problem just like Crooked @HillaryClinton #VPDebates #BigLeagueTruth https://t.co/SPOIn8AN8m
69,0,"Thank you Senator @TedCruz!
#Debates2016 #MAGA https://t.co/cgO6109USJ"
70,-1,".@HillaryClintons Nuclear Agreement Paved The Way For The $400 Million Ransom Payment #DebateNight
https://t.co/qfZTx6aKYs"
71,-1,.@HillaryClinton - Obama #ISIS Strategy Has Allowed It To Expand To Become A Global Threat #DebateNight https://t.co/f7PctDE31L
72,-1,RT @TeamTrump: .@realDonaldTrump calling out @HillaryClinton's support for NAFTA = most searched moment during tonight's debate. #Debates20
73,-1,"Russia has more warheads than ever, N Korea is testing nukes, and Iran got a sweetheart deal to keep theirs. Thanks, @HillaryClinton."
74,0,"RT @TeamTrump: 100% TRUE --&gt; @realDonaldTrump is right - @HillaryClinton did call TPP the gold standard #Debates2016 
https://t.co/W7L7a9"
75,0,".@HillaryClinton's 2008 Campaign And Supporters Trafficked In Rumors About Obama's Heritage #DebateNight 
https://t.co/6EEOAaCiNv"
76,-1,"This is the simple fact about @HillaryClinton: she is a typical politician - all talk, no action. #Debates2016"
77,-1,.@HillaryClinton has been part of the rigged DC system for 30 years? Why would we take policy advice from her? #Debates2016
78,-1,.@HillaryClinton channels John Kerry on trade: she was for bad trade deals before she was against them. #TPP #Debates2016
79,0,.@HillaryClinton and Obama policies increased debt by $9trillion over the last 8 years
80,0,"RT @KellyannePolls: #Polls showing @realDonaldTrump surging, @hillaryclinton #slipping, have HER camp on defense/lowering expectations, goi"
81,0,"""@jimmyfallon: Tonight: @realDonaldTrump, @normmacdonald, a performance by Kiiara,and your funniest #MyTeacherIsWeird tweets. #FallonTonight"
82,0,Will be joining @jimmyfallon on @FallonTonight at 11:35pmE tonight. Enjoy!
83,-1,"RT @BarackObama: RT if you agree: We need a President who is fighting for all Americans, not one who writes off nearly half the country."
84,0,RT @FoxNews: Poll: @realDonaldTrump vs. @HillaryClinton among white Evangelicals. https://t.co/6ohwIh1Q24
85,-1,"RT @NRA: .@RealDonaldTrump is right. If @HillaryClinton gets to pick her anti-#2A #SCOTUS judges, theres nothing we can do. #NeverHillary"
86,1,"""@HFFoundation4: @realDonaldTrump One thing we know for sure @BernieSanders supporters will turn to #Trump - absolutely not @HillaryClinton"""
87,0,"""@LexingtonBobby: @FoxNews @tedcruz @realDonaldTrump https://t.co/uhDlyi82Ua"""
88,0,RT @AdrianaCohen16: Carly Fiorina no lifeboat for a fast-sinking @tedcruz campaign https://t.co/nHhENzFBck via @bostonherald @realdonaldtru
89,-1,"""@gracefulme3: @seanhannity @tedcruz @realDonaldTrump Cruz is hated in New York. He should go home - no place for a phony"""
90,1,"""@Margee11: #WISCONSIN VOTE SMART @tedcruz RECORDS R SEALED.. WHAT IS HE HIDING? SAVE AMERICA W/ @realDonaldTrump https://t.co/kMuAoGF99S"""
91,0,"""@wolfblitzer:  Campaign-to-date popular GOP totals: @realDonaldTrump 7,546,980; @tedcruz 5,481,737; @JohnKasich 2,724,749"" A BIG DIFFERENCE"
92,0,"""@tcsorr: @jphilman0206 @realDonaldTrump self-funded and media loves him. Not beholden to masters like @tedcruz. Who owns Ted?"""
93,-1,"""@DebraRakestraw:  You have over 2M followers more than than @HillaryClinton. This says something about how America feels. #Trump2016 """
94,0,RT @dougmillsnyt: .@HillaryClinton with @KingJames in Cleveland Ohio. #voting https://t.co/QYkNfmYcOh
95,1,"Our next president, Ms. Hillary Clinton! @KingJames https://t.co/KPu8RdGuxq https://t.co/1TOlgQLXaD"
96,1,"""We have to get out and make sure we vote. @KingJames in Ohio with HIllary https://t.co/3TKJ4H68Kz"
97,1,Hillary and @KingJames are live in Cleveland with two days to go. Watch here: https://t.co/KPu8RdGuxq
98,-1,RT @BernieSanders: Donald Trump suffers from a very serious disease called amnesia. He seems to have forgotten 8 years ago we were losing 8
99,0,"Join Hillary on the trail in North Carolina with @BernieSanders and @Pharrell. https://t.co/ffvKpYDAe7
https://t.co/3TKJ4H68Kz"
100,1,In which @realDonaldTrump basically proves our point. https://t.co/BCfxhPEmk8
101,0,"RT @just_jenna: 1881 ppl pledged an av. of 23 to @HFA for every @realDonaldTrump tweet. 
191 tweets last week = $83,744.08.
Join: https:"
102,1,"RT @BernieSanders: Donald Trumps vision for America: tax breaks for billionaires and large corporations, poverty wages for working familie"
103,0,RT @PPact: .@realdonaldtrump pledged to appoint judges who'd overturn Roe v. Wade. He released a list to prove it: https://t.co/70ACZIWMr2
104,-1,"Check out our new tool: Every time @realDonaldTrump tweets something offensive, automatically donate. https://t.co/6pWTY4BPhY"
105,1,"RT @BernieSanders: Progressive economists agree: @HillaryClinton's economic agenda will reduce inequality, raise wages and create jobs. htt"
106,1,RT @TheEllenShow: I watched @FLOTUS Michelle Obamas incredible speech. I asked @HillaryClinton about it. https://t.co/pEFbg29hP5
107,1,"""We don't disrespect women in our locker rooms."" @KingJames https://t.co/JPJF8W17qu"
108,-1,"""I have great respect for women."" @realDonaldTrump, who said all of these things. #Debate https://t.co/BsW2pUz0hC"
109,1,RT @clevelanddotcom: Why backing @KingJames and his endorsement of @HillaryClinton is the move for this election: https://t.co/3dzOMdPeZI h
110,1,"""On every issue, Hillary Clinton is the superior candidate. Hands down."" @BernieSanders: https://t.co/tTgeqxNqYm https://t.co/nUfJjV0QvS"
111,-1,RT @jmpalmieri: @realDonaldTrump lost his second debate tonight.  Both @mike_pence and @timkaine were running against Trump.
112,-1,"RT @elizabethforma: Think about it: @realDonaldTrump calls Latinos rapists, African Americans thugs, &amp; women fat pigs, &amp; Kelly Ayotte think"
113,-1,"RT @NYDailyNews: ""I still have nightmares. And they are very real""  A soldier who struggled with PTSD educates @realDonaldTrump https://t."
114,1,"""Hillary has always been a champion for children and their futures."" @KingJames https://t.co/PcBChoxpf9"
115,1,RT @KingJames: Was at practice all morning so little late but wanted to share... https://t.co/1nrR0eWKBD
116,1,"""Hillary is running on the message of hope and unity that we need."" @KingJames https://t.co/PcBChoxpf9"
117,0,"Newspapers that have endorsed @realDonaldTrump:
1. ...
2. ...
3. (Uh, the National Enquirer?) https://t.co/WWNMSZGeFa"
118,1,"""Let's register to vote, show up to the polls, and vote for Hillary Clinton."" @KingJames: https://t.co/tTgeqxNqYm https://t.co/PcBChoxpf9"
119,1,RT @businessinsider: [Exclusive]  @KingJames: Why I'm endorsing @HillaryClinton for president https://t.co/WLMcbeOxs0 https://t.co/cLQG3Yp
120,1,Hillary teamed up with @BernieSanders on a plan to make college debt-free for all Americans. https://t.co/sdWVzdxIrG
121,1,RT @BernieSanders: It's pretty telling that Donald Trump thinks the problem with his sexist tweets is the time that they were sent. https:/
122,-1,Make sure @realDonaldTrump's bullying never reaches the White House. Chip in now: https://t.co/P865AbPdAz https://t.co/cjNoBiagTA
123,-1,RT @jmpalmieri: @realDonaldTrump's problem isn't that he couldn't be heard on Monday night. His problem is we all heard him quite clearly.
124,-1,"RT @Fahrenthold: NEW: @realdonaldtrump's Fdn, totally reliant on other people's $, lacks state certification to raise $ from others. https:"
125,1,"We ran a campaign about issues, not insults. Hillary on her primary campaign with @BernieSanders: https://t.co/puVZP5iFRE"
126,1,"""Thank you, @BernieSanders. Thank you for your leadership and your support in this campaign. Hillary"
127,1,RT @BernieSanders: This election is enormously important for the future of this country. It is imperative that we elect @HillaryClinton as
128,1,"RT @BernieSanders: I want young people to leave school excited about the future, not being saddled with tens of thousands of dollars in stu"
129,1,Tune in for a live conversation on making college affordable for all with Hillary and @BernieSanders at @UofNH  https://t.co/NQchsSkN8L
130,0,"RT @ddlovato: The election is just weeks away. Check if you're registered to vote at https://t.co/HcMAh8ljR0, only takes a few clicks! http"
131,-1,.@realDonaldTrump: Barack Obama is your president too. #debatenight
132,-1,"RT @MittRomney: No legit reason @realDonaldTrump can't release returns while being audited, but if scared, release earlier returns no longe"
133,1,RT @tedcruz: Ive released 9 years of tax returns. RT if you agree its time for Donald Trump to release his! https://t.co/08whtFVC0r
134,-1,"""He's 70 years old, and he's still a bully."" Karen on @realDonaldTrump https://t.co/XBCJ4mTj24"
135,-1,RT @Fahrenthold: NEW: @realdonaldtrump used more $250K+ from his charity to pay off legal settlements of his for-profit businesses.   https
136,1,"RT @BernieSanders: When @HillaryClinton says shes going to make public colleges and universities tuition-free, you know what? That's a ver"
137,-1,"RT @RevDrBarber: Not only is @realDonaldTrump wrong on birtherism, his words and policies are bad for Americans alive now and our children"
138,1,"""We have got to do everything we can to make sure that Hillary Clinton is elected president."" @BernieSanders https://t.co/t1uxcoVJT5"
139,1,"RT @BernieSanders: When we stand together - as white, black and hispanic, gay and straight, women and men - we trump hate. https://t.co/B8a"
140,1,"RT @BernieSanders: When your friends say they won't vote, ask how much student debt they have. There's only one candidate who will make col"
141,-1,"RT @TJMShow: .@HillaryClinton stands by @RealDonaldTrump running a deplorable campaign.  His comments have been bigoted, mean and untrue."
142,1,"Proud to have you on this team, @StephenCurry30. https://t.co/sBHOHU5dYn https://t.co/YcjQUb83qr"
143,-1,"RT @Fahrenthold: .@realdonaldtrump once used $20,000 of his charity's money to buy a six-foot-tall painting of...himself. https://t.co/Pysk"
144,0,"""The essence of his campaign is bigotry."" @BernieSanders on Donald Trump in New Hampshire https://t.co/2eqNAvMvmv"
145,-1,"What you need to know about the ""alt-right"" and @realDonaldTrump's connections to white supremacy and hate groups: https://t.co/JfQLDRP8dZ"
146,1,Happy #WomensEqualityDay from @realDonaldTrump. https://t.co/YfUdtygL4h
147,-1,"Yes, @realDonaldTrump really did say all of these hateful things. https://t.co/gEvIU8Ugmc"
148,-1,Live from Reno: Hillary discusses why @realDonaldTrump's divisive rhetoric is so dangerous to our future  https://t.co/ha9uCsizby
149,-1,"""Everything I say I'm going to do, folks, I do."" @realDonaldTrump
Here's why that's a disaster for our economy: https://t.co/KYzPrHnMHv"
150,-1,We can't let @realDonaldTrump become our next president. https://t.co/1zdOOMfync https://t.co/ZvUEIBDGMa
151,-1,"""This man is totally, thoroughly unqualified to be president."" @JoeBiden on @realDonaldTrump
https://t.co/ZfFj9ZXsfD"
152,-1,"""A man you can bait with a tweet is not a man you can trust with nuclear weapons. Hillary on @realDonaldTrump"
153,0,This is what @realDonaldTrump would do to your state's economy. https://t.co/t59VH8sa9e
154,-1,"RT @timkaine: Just released my tax returns, @realDonaldTrump. Where are yours? https://t.co/PgQ6XIGTqg"
155,-1,"Why is @realDonaldTrump refusing to release his tax returns? Some ideas:
https://t.co/M4MSBo6c9O"
156,-1,"And, unlike @realDonaldTrump, we're gonna make it easier for people who *aren't* celebrities to get apprenticeships. https://t.co/SdCUIITwuY"
157,-1,"RT @GabbyGiffords: .@realDonaldTrump might astound Americans on a routine basis, but we must draw a line between political speech &amp; suggest"
158,-1,RT @elizabethforma: Even @realDonaldTrump's childcare plan gives billionaires w/ a nanny a tax break while millions of low-income household
159,-1,RT @elizabethforma: .@realDonaldTrump's econ plan was written by rich corporate insider advisors to make the economy even greater for rich
160,-1,RT @UAW: .@realDonaldTrump has an economic plan...to cut the pay of hardworking UAW members. https://t.co/IhIohjOtwq #NeverTrump
161,-1,We have some questions about @realDonaldTrump's cozy relationship with Russia. https://t.co/aetHzJyJCo
162,-1,"We know a guy with a binder, @realDonaldTrump. (He might not take your calls, though.) https://t.co/dxmFcISmaz"
163,-1,"Every week, @realDonaldTrump hits a new low. https://t.co/LBrTdE2n7v"
164,-1,"RT @Dakota_Meyer: If @realDonaldTrump wants to be the Commander in Chief, he needs to act like one. And that cant start until he apologizes"
165,-1,"RT @TammyforIL: .@realdonaldtrump, this is how one usually looks when you are awarded the Purple Heart. Nothing easy about it. https://t.co"
166,-1,".@realDonaldTrump, when someone puts in the work, you are supposed to pay them.
https://t.co/fDVl1mWxrU"
167,-1,RT @IAFFTreg: .@IAFFLocal5 responds to @realDonaldTrump attack over the weekend. @LauraWalkerKC @JakeSherman @TheFix https://t.co/DIU8kYDItp
168,0,"Why not carrier pigeons, @realDonaldTrump?
https://t.co/lNrJcakpJW"
169,1,"@BernieSanders, youve put economic and social justice issues front and center where they belong. Hillary https://t.co/KZP2ohDTYD"
170,1,"""To all of your supporters here and around the country: I want you to know, I've heard you."" Hillary on @BernieSanders"
171,-1,RT @timkaine: .@realDonaldTrump the Hotel Roanoke AC is fine &amp; you should pay them for it. You're the one who brought the hot air! https://
172,1,"""Hillary Clinton will make an outstanding president and I am proud to stand with her tonight. @BernieSanders #DemsInPhilly"
173,1,"""I served with her in the United States Senate and know her as a fierce advocate for the rights of children. @BernieSanders #DemsInPhilly"
174,1,"""Donald Trump? Well, like most Republicans, he chooses to reject science. He believes that climate change is a 'hoax.' @BernieSanders"
175,0,Hillary Clinton will nominate justices to the Supreme Court who are prepared to overturn Citizens United. @BernieSanders #DemsInPhilly
176,0,"""Hillary...understands that if someone in this country works 40 hours a week, that person should not be living in poverty."" @BernieSanders"
177,1,"""Hillary Clinton must become the next president of the United States. @BernieSanders #DemsInPhilly"
178,1,"""We have come a long way in the last 7 1/2 years and I thank President Obama and Vice President Biden for their leadership."" @BernieSanders"
179,0,Happening now: Watch @BernieSanders address the @DemConvention  https://t.co/AQaQTNCxdl #DemsInPhilly
180,1,"Thank you, @ddlovato, for describing your experience dealing with mental illness with such courage. #DemsInPhilly https://t.co/WyzBP5zTwA"
181,1,RT @BernieSanders: We have got to defeat Donald Trump and do everything we can to elect Hillary Clinton to the White house. #DemsInPhilly
182,0,"""Donald will betray his supporters on every issue."" @TedCruz on the @GOP nominee https://t.co/YO81aW6XZB"
183,-1,"""I don't defend what he says."" @MarcoRubio on @realDonaldTrump #RNCinCLE https://t.co/YO81aW6XZB"
184,-1,"""Im with you*"" @realDonaldTrump
*Not included: women, African Americans, LGBT people, Muslims, Latinos, immigrants..."
185,-1,Every   time  @realDonaldTrump  makes  you  mad  chip  in  $1. https://t.co/dMjk7sxuSh https://t.co/yoDchxFpPZ
186,1,RT @BernieSanders: Will there be one word about student debt or making college affordable? Or just concerned about more tax breaks for the
187,-1,"Your party's official platform supports conversion therapy,  @realDonaldTrump. https://t.co/RhgfCSNSxR"
188,-1,"You are not our voice, @realDonaldTrump."
189,-1,Show @realDonaldTrump that his hateful words have a cost. Chip in $1 every time he lies. https://t.co/V2keRkBYDS https://t.co/8JFHZNCeET
190,-1,About @realDonaldTrump's views on working women and pregnancy. https://t.co/LmUZI1J8KQ
191,-1,"""Dummy.""
""Slob.""
""Animal.""
Here's what @realDonaldTrump has said about you: https://t.co/o3ohaHfR77 #TrumpYourself"
192,-1,Hillary's spent her career helping others. @realDonaldTrump? He only helps himself. A side-by-side comparison: https://t.co/iscRzdQqo5
193,0,Introducing #TrumpYourself: Discover what @realDonaldTrump thinks about people like you. https://t.co/cSY7ozT4tr https://t.co/KvVt2tGwFd
194,-1,"In the midst of massive wealth inequality, @tedcruz doesn't just want to take away health care, he wants to give huge tax breaks to the 1%."
195,0,RT @CNNPolitics: The future of Obamacare: Whats next? @TedCruz and @BernieSanders debate at 9 p.m. ET #CNNDebateNight https://t.co/zp0bYWY
196,-1,We say to @realDonaldTrump: Rescind the Muslim ban!
197,-1,RT @tammybaldwin: Rex Tillerson's egregious payout deal is nothing more than a golden parachute that flies in the face of @realDonaldTrump'
198,0,Does @realDonaldTrump have the guts to stand up to House Republicans who want to slash Social Security?
199,0,".@realDonaldTrump rather than attacking effective union leaders like Chuck Jones, why don't you work with them to c https://t.co/PWMZw1kNk8"
200,-1,"United Technologies took @realDonaldTrump hostage and won. If Trump wont stand up for the working class, we must. https://t.co/cW8n03iitg"
201,-1,.@realDonaldTrump Tell the American people you were lying or appoint an HHS secretary who will protect Social Secur https://t.co/W8fnVsQWjB
202,-1,RT @WapoCat: @BernieSanders: @realDonaldTrump already breaking campaign promise to '#draintheswamp' https://t.co/xbQmz8dvTi #feelthebern
203,1,"RT @HillaryClinton: ""Tomorrow is the election, but that is just the beginning."" Hillary https://t.co/i6NFjnrb35 https://t.co/cYI3OuFMEA"
204,1,Diversity makes us strong and we should be proud of that. @HillaryClinton understands that. Donald Trump clearly does not.
205,1,There is one candidate running for president who has pledged to raise the minimum wage to a living wage. That is @HillaryClinton.
206,0,RT @WMUR9: WATCH LIVE: @BernieSanders campaigns for @HillaryClinton and @GovernorHassan in Plymouth - https://t.co/xPbq40Sf8K #nhpolitics #
207,-1,"If you dont have the guts to run for office on your ideas @realDonaldTrump, then you shouldnt run for office at all."
208,1,RT @RichardTrumka: .@HillaryClinton looked me in the eye and told me she's against #TPP. I've known her for 30 years and I believe her. #de
209,1,.@HillaryClinton understands we need to provide a path to citizenship for undocumented immigrants and keep families together. #debatenight
210,0,RT @MoveOn: Check out the policy commitments that have @BernieSanders and @MichelleObama boasting about @HillaryClinton. https://t.co/vufMP
211,-1,"Trump has a brilliant"" idea to deport 11 million undocumented people. @HillaryClinton and I believe we need real immigration reform."
212,1,"Progressive economists agree: @HillaryClinton's economic agenda will reduce inequality, raise wages and create jobs. https://t.co/jACCRXa19p"
213,1,"RT @HillaryClinton: ""If you vote for someone other than Hillaryor if you don't vote at allthen you are helping to elect her opponent."" @"
214,1,Donald Trump thinks climate change is a hoax. @HillaryClinton understands we must transition to renewable energy. The choice is clear.
215,0,RT @WMUR9: WATCH LIVE: @BernieSanders campaigns for @HillaryClinton at Keene State College: https://t.co/492Oyx5WoH #fitn #nhpolitics https
216,-1,".@realDonaldTrump rather than just talking about bad trade deals, why don't you lead by example and stop making your products in Bangladesh."
217,1,We've got a message for Mr. Trump &amp; the billionaires: @HillaryClinton is gonna get elected &amp; they're going to start paying their fair share.
218,1,RT @PolicyMic: Watch live: @BernieSanders stumps for @HillaryClinton at the University of Michigan https://t.co/I02rkUNJB5
219,1,"RT @HillaryClinton: ""On every issue, Hillary Clinton is the superior candidate. Hands down."" @BernieSanders: https://t.co/tTgeqxNqYm https"
220,-1,.@realDonaldTrump We will not sit back and allow women to be called slobs.
221,1,.@HillaryClinton holds the radical view we should listen to scientists. Compared to Republicans today that's sadly a pretty radical idea.
222,1,Our job is to elect @HillaryClinton and to understand that on the day after we are not finished. We must continue the movement.
223,1,"If you look at which candidate has the ideas to protect working families, the answer is clear: @HillaryClinton"
224,0,RT @HillaryClinton: Corporations that benefit from all that America has to offer should feel a sense of responsibility toward shareholders
225,1,"There is no question that @HillaryClinton is, far and away, the superior candidate in this election. https://t.co/DmgBGOToHL"
226,0,"RT @CNNSotu: .@BernieSanders tells @jaketapper he is disgusted by @realDonaldTrump not paying income taxes
 https://t.co/Xc5uUJtYrF"
227,0,"RT @HillaryClinton: Barack&amp;
Michelle&amp;
Joe&amp;
Bernie&amp;
Elizabeth&amp;
You?
https://t.co/tTgeqxNqYm https://t.co/myxRlsyFOb"
228,1,"The plan @HillaryClinton and I worked on says: if your kid studies hard and does well, regardless of income, your kid can go to college."
